academick,academic
accoutre,accouter
acrostick,acrostic
adespotick,adespotic
affranchise,affranchize
afterendeavour,afterendeavor
agarick,agaric
agonothetick,agonothetic
agrestick,agrestic
alburncolour,alburncolor
alchymical,alchimical
alchymically,alchimically
alchymist,alchimist
alchymy,alchimy
alembick,alembic
alexipharmick,alexipharmic
allegorick,allegoric
aloetick,aloetic
alphabetick,alphabetic
ambassadour,ambassador
amphitheatre,amphitheater
anacamptick,anacamptic
anacathartick,anacathartic
analeptick,analeptic
analytick,analytic
anaplerotick,anaplerotic
anastomatick,anastomatic
angelick,angelic
antalgick,antalgic
antaphroditick,antaphroditic
antapoplectick,antapoplectic
antarctick,antarctic
antarthritick,antarthritic
antasthmatick,antasthmatic
antemetick,antemetic
antepileptick,antepileptic
anteriour,anterior
anthelminthick,anthelminthic
anthypnotick,anthypnotic
anthypochondriack,anthypochondriac
anthysterick,anthysteric
antichachectick,antichachectic
antick,antic
antidysenterick,antidysenteric
antinephritick,antinephritic
antiparalytick,antiparalytic
antiscorbutick,antiscorbutic
antispasmodick,antispasmodic
antispastick,antispastic
antisplenetick,antisplenetic
antistrumatick,antistrumatic
antre,anter
aphrodisiack,aphrodisiac
apocrustick,apocrustic
apologetick,apologetic
apophlegmatick,apophlegmatic
apoplectick,apoplectic
apostolick,apostolic
aquatick,aquatic
arbour,arbor
archaiologick,archaiologic
archangelick,archangelic
archbishoprick,archbishopric
architectonick,architectonic
arctick,arctic
ardour,ardor
areotick,areotic
arithmetick,arithmetic
armoniack,armoniac
armour,armor
aromatick,aromatic
arsenick,arsenic
artick,artic
artlesly,artlessly
ascetick,ascetic
ascitick,ascitic
asphaltick,asphaltic
aspick,aspic
assapanick,assapanic
asthmatick,asthmatic
astrologick,astrologic
astronomick,astronomic
atheistick,atheistic
athletick,athletic
atleastwise,atleastwize
augre,auger
augurise,augurize
auletick,auletic
aulick,aulic
authentick,authentic
balsamick,balsamic
barbarick,barbaric
basilick,basilic
beatifick,beatific
bedcloaths,bedcloths
behaviour,behavior
belabour,belabor
betre,beter
bezoardick,bezoardic
binaryarithmetick,binaryarithmetic
biquadratick,biquadratic
bishoprick,bishopric
bistre,bister
blamelesly,blamelessly
blamelesness,blamelessness
bodycloaths,bodycloths
bonnetaprestre,bonnetaprester
botanick,botanic
boundlesness,boundlessness
bronchick,bronchic
bucolick,bucolic
caballistick,caballistic
cachectick,cachectic
cacochymick,cacochymic
cadillack,cadillac
calorifick,calorific
cambrick,cambric
candour,candor
cardiack,cardiac
carelesly,carelessly
carelesness,carelessness
caricoustumour,caricoustumor
carrack,carrac
catagmatick,catagmatic
cathartick,cathartic
catholick,catholic
causelesly,causelessly
caustick,caustic
celeriack,celeriac
celiack,celiac
centre,center
centrick,centric
cephalick,cephalic
cerulifick,cerulific
chaotick,chaotic
characteristick,characteristic
cherubick,cherubic
chevauxdefrise,chevauxdefrize
chirurgick,chirurgic
cholerick,choleric
chromatick,chromatic
chronick,chronic
chylopoetick,chylopoetic
chymick,chymic
civick,civic
clamour,clamor
clangour,clangor
classick,classic
clawback,clawbac
clinick,clinic
cognisour,cognisor
colick,colic
colonise,colonize
colorifick,colorific
colour,color
colourable,colorable
colourably,colorably
cometick,cometic
comick,comic
concentre,concenter
concentrick,concentric
concolour,concolor
conick,conic
connexion,connection
cornifick,cornific
cosmetick,cosmetic
courtfavour,courtfavor
cradlecloaths,cradlecloths
critick,critic
cryptick,cryptic
crystallinehumour,crystallinehumor
cubick,cubic
cylindrick,cylindric
cynick,cynic
cystick,cystic
dastardise,dastardize
daylabour,daylabor
defence,defense
demeanour,demeanor
demoniack,demoniac
despotick,despotic
diabolick,diabolic
diagnostick,diagnostic
dialectick,dialectic
diaphanick,diaphanic
diaphoretick,diaphoretic
diarrhoetick,diarrhoetic
diatonick,diatonic
didactick,didactic
didascalick,didascalic
dietetick,dietetic
dioptrick,dioptric
disauthorise,disauthorize
discolour,discolor
disfavour,disfavor
dishonour,dishonor
dishonourable,dishonorable
